Date, Open, High, Low, Close, Volume
12/31/18, 158.53, 159.36, 156.48, 157.74, 35003466
12/28/18, 157.50, 158.52, 154.55, 156.23, 42291424
12/27/18, 155.84, 156.77, 150.07, 156.15, 53117065
12/26/18, 148.30, 157.23, 146.72, 157.17, 58582544
12/24/18, 148.15, 151.55, 146.59, 146.83, 37169232
12/21/18, 156.86, 158.16, 149.63, 150.73, 95744384
12/20/18, 160.40, 162.11, 155.30, 156.83, 64772960
12/19/18, 166.00, 167.45, 159.09, 160.89, 49047297
12/18/18, 165.38, 167.53, 164.39, 166.07, 33841518
12/17/18, 165.45, 168.35, 162.73, 163.94, 44287922
12/14/18, 169.00, 169.08, 165.28, 165.48, 40703710
12/13/18, 170.49, 172.57, 169.55, 170.95, 31897827
12/12/18, 170.40, 171.92, 169.02, 169.10, 35627674
12/11/18, 171.66, 171.79, 167.00, 168.63, 47281665
12/10/18, 165.00, 170.09, 163.33, 169.60, 62025994
12/07/18, 173.49, 174.49, 168.30, 168.49, 42281631
12/06/18, 171.76, 174.78, 170.42, 174.72, 43098410
12/04/18, 180.95, 182.3899, 176.27, 176.69, 41344282
12/03/18, 184.46, 184.94, 181.21, 184.82, 40798002
11/30/18, 180.29, 180.33, 177.03, 178.58, 39531549
11/29/18, 182.66, 182.80, 177.70, 179.55, 41769992
11/28/18, 176.73, 181.29, 174.93, 180.94, 46062539
11/27/18, 171.51, 174.77, 170.88, 174.24, 41387377
11/26/18, 174.24, 174.95, 170.26, 174.62, 44998520
11/23/18, 174.94, 176.595, 172.10, 172.29, 23623972
11/21/18, 179.73, 180.27, 176.55, 176.78, 31124210
11/20/18, 178.37, 181.47, 175.51, 176.98, 67825247
11/19/18, 190.00, 190.70, 184.99, 185.86, 41920872
11/16/18, 190.50, 194.9695, 189.46, 193.53, 36928253
11/15/18, 188.39, 191.97, 186.90, 191.41, 46478801
11/14/18, 193.90, 194.48, 185.93, 186.80, 60800957
11/13/18, 191.63, 197.18, 191.4501, 192.23, 46882936
11/12/18, 199.00, 199.85, 193.79, 194.17, 51135518
11/09/18, 205.55, 206.01, 202.25, 204.47, 34365750
11/08/18, 209.98, 210.12, 206.75, 208.49, 25362636
11/07/18, 205.97, 210.06, 204.13, 209.95, 33424434
