Date, Open, High, Low, Close, Volume
12/31/18, 306000, 307479, 301618, 306000, 270
12/28/18, 300005, 306900, 300005, 302600, 541
12/27/18, 293000, 299800, 288000, 298500, 571
12/26/18, 283250, 296745, 279410, 294850, 490
12/24/18, 288000, 288000, 281000, 282640, 449
12/21/18, 290000, 296100, 287800, 288000, 532
12/20/18, 290425, 292975, 287485, 290100, 663
12/19/18, 295000, 301000, 290627, 293040, 499
12/18/18, 299030, 300540, 292524, 294500, 775
12/17/18, 299120, 303150, 296000, 297000, 516
12/14/18, 301554, 302406, 299440, 300320, 831
12/13/18, 303700, 304955, 302310, 303750, 493
12/12/18, 308000, 308272, 303400, 303600, 261
12/11/18, 309499, 310697, 301234, 303226, 254
12/10/18, 306200, 306990, 298101, 304600, 510
12/07/18, 313250, 316280, 305850, 307674, 272
12/06/18, 310550, 312150, 304500, 312000, 616
12/04/18, 330200, 330200, 314929, 315000, 563
12/03/18, 331500, 335041, 328580, 330921, 387
11/30/18, 325125, 328550, 325125, 326000, 240
11/29/18, 324750, 328900, 324200, 326481, 376
11/28/18, 319150, 326450, 318745, 325000, 452
11/27/18, 315420, 319100, 315420, 318696, 244
11/26/18, 313700, 316430, 313135, 316040, 217
11/23/18, 315000, 315000, 310340, 310340, 108
11/21/18, 316300, 320396, 316000, 316301, 131
11/20/18, 322710, 323010, 315623, 315970, 374
11/19/18, 327000, 327025, 322960, 326706, 173
11/16/18, 326000, 330526, 323800, 328350, 198
11/15/18, 322770, 326300, 318120, 326300, 229
11/14/18, 329080, 330450, 321000, 323700, 257
11/13/18, 323105, 328408, 323105, 326700, 345
11/12/18, 328930, 329065, 322980, 323040, 176
11/09/18, 331840, 331940, 327510, 329665, 139
11/08/18, 331400, 335109, 330980, 333200, 354
11/07/18, 330000, 332222, 326600, 331391, 308
11/06/18, 325945, 327600, 324885, 327050, 323
11/05/18, 318880, 326047, 318880, 323935, 561
11/02/18, 312150, 313015, 305250, 308411, 242
11/01/18, 308007, 309199, 306001, 308366, 177
10/31/18, 309180, 312010, 307090, 307705, 319
10/30/18, 300300, 305579, 298480, 305579, 393
10/29/18, 302500, 306864, 297000, 300000, 401
10/26/18, 299995, 300605, 296003, 296805, 640
10/25/18, 302000, 305050, 300430, 302231, 371
10/24/18, 305003, 306000, 299381, 299995, 372
10/23/18, 304899, 307915, 302861, 305100, 387
10/22/18, 315150, 315150, 309080, 309080, 283
10/19/18, 313200, 316180, 312264, 314477, 393
10/18/18, 316100, 316889, 311000, 313200, 215
10/17/18, 314500, 317500, 311296, 315200, 350
10/16/18, 310750, 316000, 309750, 314750, 283
10/15/18, 310000, 310000, 307205, 308000, 279
10/12/18, 314200, 314590, 306375, 310000, 359
10/11/18, 316110, 317990, 305000, 308000, 826
10/10/18, 334830, 335441, 319100, 319100, 507
10/09/18, 332700, 335900, 331800, 335630, 480
10/08/18, 329150, 334070, 329150, 333337, 231
10/05/18, 328700, 330120, 328190, 329500, 172
10/04/18, 324325, 328410, 324325, 327900, 247
10/03/18, 323175, 326506, 323175, 323878, 359
