Date, Open, High, Low, Close, Volume
12/31/18, 51.98, 52.67, 51.39, 52.06, 19317506
12/28/18, 51.93, 52.55, 51.57, 51.83, 23176897
12/27/18, 50.62, 51.77, 49.695, 51.77, 28573431
12/26/18, 49.65, 51.45, 48.42, 51.44, 32005641
12/24/18, 49.40, 50.245, 48.48, 49.26, 21970833
12/21/18, 51.90, 52.56, 49.88, 50.24, 52323034
12/20/18, 52.21, 53.2467, 51.72, 52.27, 39800032
12/19/18, 53.90, 55.40, 52.18, 52.82, 31483121
12/18/18, 54.72, 55.665, 53.55, 53.93, 27301984
12/17/18, 54.85, 55.925, 53.915, 54.25, 26212523
12/14/18, 54.73, 56.36, 54.63, 55.02, 22839309
12/13/18, 56.38, 56.44, 55.41, 55.77, 27670718
12/12/18, 57.13, 57.15, 55.85, 55.98, 24941604
12/11/18, 58.17, 58.33, 55.90, 56.22, 23712482
12/10/18, 57.95, 58.31, 55.83, 57.07, 30695769
12/07/18, 59.72, 60.72, 58.14, 58.35, 24282077
12/06/18, 59.36, 60.085, 58.36, 60.06, 37802564
12/04/18, 64.58, 64.64, 61.12, 62.26, 27104528
12/03/18, 66.04, 66.455, 64.81, 65.16, 14247757
11/30/18, 64.37, 65.00, 64.105, 64.79, 14207818
11/29/18, 65.09, 65.56, 64.6595, 64.90, 12914242
11/28/18, 63.64, 65.645, 62.91, 65.58, 17718983
11/27/18, 63.35, 63.84, 62.75, 63.46, 12867882
11/26/18, 62.67, 63.915, 62.50, 63.73, 19065131
11/23/18, 62.33, 62.44, 61.715, 61.75, 7316465
11/21/18, 62.76, 63.83, 62.67, 62.87, 12380151
11/20/18, 63.82, 64.005, 62.15, 62.53, 21023988
11/19/18, 65.08, 65.54, 64.20, 64.62, 12227416
11/16/18, 64.49, 64.975, 64.015, 64.95, 15995341
11/15/18, 62.97, 64.72, 62.34, 64.60, 19202329
11/14/18, 65.39, 65.785, 62.835, 63.50, 19754600
11/13/18, 64.38, 65.44, 64.32, 64.78, 14121261
11/12/18, 65.56, 65.981, 64.07, 64.21, 16424184
11/09/18, 67.20, 67.49, 65.18, 65.76, 27125770
11/08/18, 67.94, 69.00, 66.845, 67.78, 18908077
11/07/18, 67.29, 68.31, 66.70, 68.26, 15529349
11/06/18, 67.31, 67.31, 66.17, 66.68, 17049574
11/05/18, 66.30, 67.47, 66.26, 67.30, 14823926
11/02/18, 66.07, 66.92, 65.575, 65.92, 21214872
11/01/18, 66.09, 66.44, 65.20, 65.83, 17744119
10/31/18, 65.01, 66.21, 64.84, 65.46, 20450321
10/30/18, 64.60, 65.195, 63.81, 64.53, 19951948
10/29/18, 65.06, 65.62, 63.68, 64.35, 20036752
10/26/18, 64.17, 64.74, 63.18, 64.21, 24066282
10/25/18, 64.77, 65.505, 64.335, 64.97, 19510264
10/24/18, 65.41, 65.41, 63.59, 63.80, 23420584
10/23/18, 64.15, 66.08, 63.18, 65.73, 32809241
10/22/18, 68.89, 69.21, 66.57, 66.59, 17890869
10/19/18, 68.54, 69.60, 68.16, 68.86, 16721947
10/18/18, 69.54, 70.3949, 68.41, 68.62, 18168520
10/17/18, 69.35, 70.79, 69.025, 69.84, 16774195
10/16/18, 69.89, 70.04, 69.17, 69.71, 15453510
10/15/18, 70.13, 70.64, 69.18, 69.21, 17661305
10/12/18, 70.45, 71.23, 68.41, 69.84, 29024166
10/11/18, 69.14, 70.645, 68.36, 68.38, 28890822
10/10/18, 72.07, 72.50, 69.87, 69.95, 23679578
10/09/18, 72.06, 72.70, 71.4136, 71.89, 15654465
10/08/18, 71.69, 72.98, 71.52, 72.59, 11958202
10/05/18, 72.95, 73.12, 72.0701, 72.42, 11481424
10/04/18, 72.78, 73.98, 72.02, 72.62, 18956766
10/03/18, 72.54, 72.84, 72.019, 72.36, 11977863
10/02/18, 71.51, 72.1825, 71.0338, 71.80, 12746910
