Date, Open, High, Low, Close, Volume
12/31/18, 1050.96, 1052.70, 1023.59, 1035.61, 1493722
12/28/18, 1049.62, 1055.56, 1033.10, 1037.08, 1413772
12/27/18, 1017.15, 1043.89, 997.00, 1043.88, 2109777
12/26/18, 989.01, 1040.00, 983.00, 1039.46, 2373270
12/24/18, 973.90, 1003.54, 970.11, 976.22, 1590328
12/21/18, 1015.30, 1024.02, 973.69, 979.54, 4595891
12/20/18, 1018.13, 1034.22, 996.36, 1009.41, 2673464
12/19/18, 1033.99, 1062.00, 1008.05, 1023.01, 2479338
12/18/18, 1026.09, 1049.48, 1021.44, 1028.71, 2192533
12/17/18, 1037.51, 1053.15, 1007.90, 1016.53, 2385364
12/14/18, 1049.98, 1062.60, 1040.79, 1042.10, 1686619
12/13/18, 1068.07, 1079.7597, 1053.93, 1061.90, 1329768
12/12/18, 1068.00, 1081.65, 1062.79, 1063.68, 1523804
12/11/18, 1056.49, 1060.60, 1039.84, 1051.75, 1394731
12/10/18, 1035.05, 1048.45, 1023.29, 1039.55, 1807725
12/07/18, 1060.01, 1075.26, 1028.50, 1036.58, 2101206
12/06/18, 1034.26, 1071.20, 1030.7701, 1068.73, 2769225
12/04/18, 1103.12, 1104.42, 1049.98, 1050.82, 2345166
12/03/18, 1123.14, 1124.65, 1103.6645, 1106.43, 1990758
11/30/18, 1089.07, 1095.57, 1077.88, 1094.43, 2580612
11/29/18, 1076.08, 1094.245, 1076.00, 1088.30, 1468859
11/28/18, 1048.76, 1086.84, 1035.76, 1086.23, 2475419
11/27/18, 1041.00, 1057.58, 1038.49, 1044.41, 1803164
11/26/18, 1038.35, 1049.31, 1033.91, 1048.62, 1942822
11/23/18, 1030.00, 1037.59, 1022.3992, 1023.88, 691462
11/21/18, 1036.76, 1048.56, 1033.47, 1037.61, 1534274
11/20/18, 1000.00, 1031.74, 996.02, 1025.76, 2449130
11/19/18, 1057.20, 1060.79, 1016.2601, 1020.00, 1858614
11/16/18, 1059.41, 1067.00, 1048.98, 1061.49, 1658116
11/15/18, 1044.71, 1071.85, 1031.78, 1064.71, 1836084
11/14/18, 1050.00, 1054.5643, 1031.00, 1043.66, 1565945
11/13/18, 1043.29, 1056.605, 1031.15, 1036.05, 1513702
11/12/18, 1061.39, 1062.12, 1031.00, 1038.63, 1471758
11/09/18, 1073.99, 1075.56, 1053.11, 1066.15, 1343313
11/08/18, 1091.38, 1093.27, 1072.2048, 1082.40, 1488182
11/07/18, 1069.00, 1095.46, 1065.90, 1093.39, 2058356
11/06/18, 1039.48, 1064.345, 1038.07, 1055.81, 1233306
11/05/18, 1055.00, 1058.47, 1021.24, 1040.09, 2441430
11/02/18, 1073.73, 1082.975, 1054.61, 1057.79, 1839043
