Date, Open, High, Low, Close, Volume
12/31/18, 34.12, 34.37, 33.73, 34.12, 1773155
12/28/18, 34.07, 34.47, 33.52, 33.96, 2316040
12/27/18, 33.35, 33.91, 32.61, 33.90, 1534787
12/26/18, 32.28, 33.86, 31.80, 33.81, 2279826
12/24/18, 32.07, 32.394, 31.36, 31.91, 831304
12/21/18, 33.01, 33.59, 32.16, 32.23, 3087144
12/20/18, 33.25, 33.72, 32.62, 33.01, 2018997
12/19/18, 33.54, 34.695, 33.05, 33.25, 2407752
12/18/18, 34.06, 34.60, 33.66, 33.83, 1983132
12/17/18, 34.54, 34.69, 33.55, 33.94, 2181873
12/14/18, 34.65, 35.23, 34.57, 34.72, 1804673
12/13/18, 35.64, 35.91, 34.785, 34.93, 2690545
12/12/18, 36.65, 37.05, 35.98, 36.02, 2463747
12/11/18, 37.42, 37.47, 36.08, 36.11, 2713648
12/10/18, 38.09, 38.09, 36.50, 36.97, 2548409
12/07/18, 39.30, 39.71, 37.92, 38.25, 2973729
12/06/18, 41.03, 41.11, 39.31, 39.45, 3625898
12/04/18, 43.16, 43.41, 41.59, 41.86, 4634666
12/03/18, 43.19, 43.69, 42.99, 43.39, 2241940
11/30/18, 42.46, 42.68, 42.02, 42.29, 2098074
11/29/18, 42.49, 42.96, 41.945, 42.49, 2930970
11/28/18, 41.70, 42.91, 41.65, 42.80, 2842781
11/27/18, 41.25, 41.68, 40.95, 41.64, 2033729
11/26/18, 40.04, 41.68, 39.95, 41.40, 2669663
11/23/18, 39.81, 40.23, 39.68, 39.89, 700132
11/21/18, 40.48, 40.93, 40.06, 40.07, 1305686
11/20/18, 39.79, 40.48, 39.22, 40.08, 1772356
11/19/18, 41.32, 41.34, 40.125, 40.19, 2239676
11/16/18, 41.05, 41.55, 40.79, 41.38, 1654570
11/15/18, 41.13, 41.62, 40.65, 41.38, 2491944
11/14/18, 41.98, 42.39, 41.22, 41.52, 3093529
11/13/18, 41.00, 42.0848, 40.98, 41.60, 2580000
11/12/18, 40.81, 41.26, 40.55, 40.78, 3354616
11/09/18, 40.61, 41.05, 40.51, 40.73, 2275339
11/08/18, 40.98, 41.40, 40.48, 40.86, 2527576
11/07/18, 39.68, 41.06, 39.65, 40.96, 3681921
11/06/18, 39.20, 39.615, 39.12, 39.51, 1380290
11/05/18, 39.84, 40.10, 38.90, 39.21, 3719804
11/02/18, 39.64, 40.2425, 39.445, 39.80, 2426705
11/01/18, 38.40, 39.69, 38.355, 39.29, 2773029
10/31/18, 38.07, 38.75, 37.89, 38.22, 2656955
10/30/18, 36.47, 37.80, 36.45, 37.76, 2421018
10/29/18, 36.45, 37.33, 36.04, 36.52, 2817570
10/26/18, 37.01, 37.05, 35.76, 35.99, 3220627
10/25/18, 37.73, 38.149, 37.20, 37.31, 2646691
10/24/18, 37.96, 38.68, 37.71, 37.74, 4281242
10/23/18, 38.00, 38.22, 36.15, 37.87, 7769588
10/22/18, 39.35, 39.52, 38.27, 38.73, 4636489
