Date, Open, High, Low, Close, Volume
12/31/18, 20.49, 20.65, 20.24, 20.46, 8510336
12/28/18, 20.56, 20.795, 20.28, 20.34, 9753908
12/27/18, 20.02, 20.39, 19.65, 20.38, 11942928
12/26/18, 19.53, 20.35, 19.215, 20.33, 14093809
12/24/18, 19.40, 19.89, 19.32, 19.38, 6326318
12/21/18, 19.98, 20.38, 19.63, 19.65, 21153858
12/20/18, 20.51, 20.635, 19.82, 20.07, 16294928
12/19/18, 21.46, 21.63, 20.34, 20.55, 18164045
12/18/18, 21.602, 21.92, 21.37, 21.41, 11889427
12/17/18, 21.90, 22.275, 21.285, 21.42, 11680801
12/14/18, 22.08, 22.435, 21.94, 22.01, 11959572
12/13/18, 22.63, 22.91, 22.26, 22.29, 11356820
12/12/18, 22.70, 22.985, 22.52, 22.55, 10202035
12/11/18, 23.10, 23.40, 22.385, 22.55, 13065207
12/10/18, 22.80, 23.06, 22.305, 22.93, 13111617
12/07/18, 23.90, 23.91, 22.63, 22.93, 17395261
12/06/18, 22.76, 24.09, 22.70, 24.02, 19873605
12/04/18, 23.89, 24.17, 23.035, 23.24, 15220561
12/03/18, 23.40, 24.015, 23.40, 23.95, 13175506
11/30/18, 23.22, 23.24, 22.42, 23.00, 19162325
11/29/18, 23.29, 23.29, 22.66, 22.86, 17342479
11/28/18, 22.80, 23.44, 22.61, 23.43, 9003453
11/27/18, 22.63, 22.765, 22.47, 22.73, 10173910
11/26/18, 22.85, 22.92, 22.475, 22.81, 10845705
11/23/18, 22.39, 22.76, 22.27, 22.51, 3909040
11/21/18, 22.77, 23.075, 22.66, 22.66, 8218147
11/20/18, 23.07, 23.12, 22.47, 22.61, 10786859
11/19/18, 24.09, 24.17, 23.305, 23.55, 10002870
11/16/18, 23.99, 24.37, 23.96, 24.16, 8672140
11/15/18, 23.55, 24.43, 23.415, 24.17, 10585780
11/14/18, 24.26, 24.42, 23.69, 23.73, 9949729
11/13/18, 23.99, 24.33, 23.78, 23.95, 7820566
11/12/18, 24.77, 24.86, 23.94, 23.99, 7794682
11/09/18, 25.36, 25.49, 24.76, 25.00, 7125829
11/08/18, 25.42, 25.72, 25.37, 25.50, 7545735
11/07/18, 25.0757, 25.51, 24.66, 25.47, 8228401
11/06/18, 24.59, 24.88, 24.53, 24.88, 6444505
11/05/18, 24.63, 24.77, 24.421, 24.64, 7038951
11/02/18, 24.36, 24.83, 24.30, 24.63, 11792214
11/01/18, 24.24, 24.50, 23.98, 24.49, 7361450
10/31/18, 23.84, 24.37, 23.78, 24.14, 9992164
10/30/18, 23.07, 23.70, 22.98, 23.67, 9441089
10/29/18, 23.48, 23.715, 22.70, 23.02, 9897324
10/26/18, 23.31, 23.63, 22.845, 23.13, 12369440
10/25/18, 23.28, 24.06, 23.27, 23.79, 11226187
10/24/18, 23.97, 24.0399, 23.02, 23.06, 11420588
10/23/18, 23.61, 24.13, 23.26, 23.94, 9621910
10/22/18, 24.00, 24.43, 23.95, 24.11, 10434885
10/19/18, 23.87, 24.25, 23.645, 23.84, 11827007
10/18/18, 23.81, 24.09, 23.54, 23.77, 7205519
10/17/18, 24.03, 24.13, 23.595, 23.87, 7839173
10/16/18, 23.77, 23.98, 23.56, 23.96, 8101354
10/15/18, 23.62, 23.845, 23.54, 23.56, 9107851
10/12/18, 23.46, 23.76, 23.27, 23.67, 12284506
10/11/18, 24.07, 24.14, 22.84, 23.01, 18005482
10/10/18, 24.81, 24.995, 24.22, 24.26, 14229994
10/09/18, 24.87, 25.12, 24.75, 24.97, 9625480
10/08/18, 25.19, 25.345, 24.94, 25.01, 11520204
10/05/18, 26.27, 26.43, 25.215, 25.34, 15682412
10/04/18, 26.89, 27.08, 26.22, 26.42, 12955501
10/03/18, 26.20, 26.34, 25.97, 26.06, 8714433
10/02/18, 25.60, 26.15, 25.60, 26.08, 14379897
10/01/18, 25.80, 25.98, 25.53, 25.60, 8572926
09/28/18, 25.54, 25.885, 25.48, 25.77, 9174484
09/27/18, 26.01, 26.02, 25.58, 25.63, 7933500
09/26/18, 25.71, 26.22, 25.71, 25.97, 10367809
09/25/18, 25.86, 25.94, 25.52, 25.56, 6308755
09/24/18, 25.73, 25.95, 25.72, 25.87, 9643743
09/21/18, 25.788, 26.14, 25.73, 25.83, 21915838
09/20/18, 25.44, 25.78, 25.40, 25.69, 10136203
09/19/18, 25.15, 25.33, 25.045, 25.26, 7134245
09/18/18, 24.98, 25.27, 24.96, 25.16, 7597414
09/17/18, 25.04, 25.245, 24.98, 25.01, 5937377
09/14/18, 25.01, 25.15, 24.955, 25.04, 5509826
09/13/18, 24.71, 25.09, 24.67, 25.01, 6814943
09/12/18, 24.60, 24.69, 24.415, 24.60, 6950554
09/11/18, 24.45, 24.81, 24.345, 24.68, 13718470
