Date, Open, High, Low, Close, Volume
12/31/18, 47.09, 47.48, 46.55, 46.93, 20490405
12/28/18, 46.51, 47.74, 46.30, 46.75, 24729695
12/27/18, 45.62, 46.38, 44.67, 46.36, 29970725
12/26/18, 44.00, 46.20, 43.51, 46.19, 28677632
12/24/18, 44.63, 45.17, 43.54, 43.59, 19241563
12/21/18, 45.75, 46.65, 44.80, 44.84, 52767741
12/20/18, 45.41, 46.31, 45.01, 45.54, 37750948
12/19/18, 47.49, 47.73, 45.38, 45.57, 39717559
12/18/18, 47.47, 48.45, 47.36, 47.74, 29014290
12/17/18, 47.86, 48.41, 46.66, 47.08, 26598676
12/14/18, 47.89, 48.76, 47.85, 47.86, 26372077
12/13/18, 48.26, 48.58, 47.855, 48.29, 19525963
12/12/18, 48.58, 48.64, 47.41, 47.83, 31305045
12/11/18, 47.90, 48.59, 47.13, 47.38, 23850962
12/10/18, 46.28, 47.46, 46.01, 47.21, 23289000
12/07/18, 47.94, 48.06, 46.23, 46.24, 34016375
12/06/18, 46.80, 48.39, 46.52, 48.37, 31661749
12/04/18, 49.52, 49.60, 47.675, 47.75, 35397722
12/03/18, 50.00, 50.495, 49.53, 50.13, 30866818
11/30/18, 47.95, 49.32, 47.56, 49.31, 43312603
11/29/18, 48.49, 48.56, 47.63, 47.70, 23592512
11/28/18, 47.935, 48.88, 47.65, 48.86, 28003222
11/27/18, 46.94, 48.22, 46.59, 48.07, 27621025
11/26/18, 47.27, 47.46, 46.70, 47.45, 20723037
11/23/18, 46.69, 47.07, 46.52, 46.54, 8906879
11/21/18, 47.85, 47.88, 47.02, 47.03, 19011435
11/20/18, 47.40, 48.12, 47.09, 47.39, 29200847
11/19/18, 48.61, 49.15, 47.78, 48.00, 26859030
11/16/18, 47.77, 49.05, 47.69, 48.83, 31670572
11/15/18, 47.01, 48.24, 46.72, 48.11, 29580992
11/14/18, 47.85, 47.965, 46.89, 47.09, 25632731
11/13/18, 46.99, 48.25, 46.99, 47.39, 29315924
11/12/18, 47.71, 47.80, 46.60, 46.65, 24412843
11/09/18, 48.79, 49.025, 47.87, 48.11, 21761447
11/08/18, 48.49, 49.29, 48.46, 48.99, 26581744
11/07/18, 47.63, 48.75, 47.59, 48.72, 29913193
11/06/18, 47.80, 47.92, 47.03, 47.25, 23839582
11/05/18, 47.34, 48.25, 46.92, 47.97, 23751221
11/02/18, 48.13, 48.25, 46.75, 47.11, 30759786
11/01/18, 46.95, 48.47, 46.86, 48.22, 28335329
10/31/18, 48.29, 48.56, 46.83, 46.88, 33369091
10/30/18, 45.53, 47.88, 45.46, 47.76, 43975214
10/29/18, 46.50, 46.75, 44.44, 45.40, 35732223
