Date, Open, High, Low, Close, Volume
12/31/18, 47.49, 47.54, 46.96, 47.35, 10576275
12/28/18, 47.89, 48.01, 47.025, 47.20, 13218171
12/27/18, 46.74, 47.55, 46.03, 47.53, 16966519
12/26/18, 45.88, 46.96, 45.66, 46.94, 14342580
12/24/18, 47.62, 47.87, 45.83, 45.96, 10733717
12/21/18, 47.26, 48.75, 47.23, 47.57, 32477703
12/20/18, 47.81, 48.1331, 47.10, 47.54, 21130011
12/19/18, 48.24, 48.76, 47.62, 47.90, 17903816
12/18/18, 48.61, 48.83, 47.85, 48.32, 14765715
12/17/18, 49.34, 49.53, 48.02, 48.33, 18483063
12/14/18, 49.23, 49.52, 49.02, 49.34, 13836073
12/13/18, 48.72, 49.6099, 48.57, 49.47, 13766246
12/12/18, 49.95, 50.02, 49.19, 49.22, 12316944
12/11/18, 49.59, 50.01, 49.18, 49.54, 18083598
12/10/18, 49.45, 49.45, 48.465, 49.24, 12331098
12/07/18, 49.57, 49.68, 48.88, 49.09, 15565697
12/06/18, 49.51, 49.63, 48.66, 49.38, 17674942
12/04/18, 49.97, 50.51, 49.50, 49.58, 19059891
12/03/18, 49.87, 49.96, 48.89, 49.69, 14868769
11/30/18, 49.00, 50.485, 48.99, 50.40, 25538171
11/29/18, 49.28, 49.43, 48.97, 48.98, 11564317
11/28/18, 49.21, 49.72, 49.21, 49.71, 11368691
11/27/18, 48.88, 49.405, 48.73, 49.37, 9180671
11/26/18, 49.01, 49.23, 48.67, 48.87, 9341934
11/23/18, 48.75, 49.23, 48.55, 49.02, 4792475
11/21/18, 49.23, 49.44, 48.59, 48.73, 13559346
11/20/18, 50.82, 50.84, 49.21, 49.38, 16255437
11/19/18, 50.31, 50.76, 50.25, 50.51, 13575799
11/16/18, 49.66, 50.25, 49.63, 50.17, 13405755
11/15/18, 49.66, 49.75, 49.27, 49.74, 12080074
11/14/18, 49.85, 49.94, 49.59, 49.76, 12106794
11/13/18, 49.81, 50.00, 49.58, 49.86, 13873127
11/12/18, 49.61, 50.24, 49.54, 49.87, 13918312
11/09/18, 49.39, 49.89, 49.36, 49.68, 12398306
11/08/18, 49.12, 49.37, 49.10, 49.33, 9762841
11/07/18, 49.39, 49.55, 49.0301, 49.37, 12239747
11/06/18, 48.65, 49.13, 48.60, 49.11, 14373426
11/05/18, 48.00, 48.775, 47.92, 48.69, 16543547
11/02/18, 47.82, 48.00, 47.435, 48.00, 17585058
11/01/18, 47.81, 48.15, 47.295, 47.74, 16494500
10/31/18, 47.50, 48.08, 47.22, 47.88, 25309419
10/30/18, 46.62, 47.74, 46.0384, 47.63, 20895360
10/29/18, 46.15, 46.555, 46.05, 46.46, 20932176
10/26/18, 46.37, 46.48, 45.43, 45.92, 21458110
10/25/18, 46.65, 46.74, 46.12, 46.51, 14220216
10/24/18, 46.33, 47.39, 46.24, 46.73, 21626031
10/23/18, 45.62, 46.455, 45.45, 46.36, 17483862
10/22/18, 46.37, 46.455, 45.81, 45.97, 14283642
10/19/18, 45.83, 46.49, 45.83, 46.33, 13989247
10/18/18, 45.90, 46.08, 45.455, 45.61, 12716854
10/17/18, 45.41, 45.99, 45.36, 45.86, 11055840
10/16/18, 45.02, 45.595, 44.8626, 45.49, 10442520
10/15/18, 44.64, 45.265, 44.59, 44.91, 11608529
10/12/18, 44.48, 44.8799, 44.25, 44.68, 12420075
10/11/18, 45.80, 45.97, 44.50, 44.64, 17677941
